id,driver,run,time,fuel_consumption,speed,acc_long,acc_lat,acc_norm,throttle_position,engine_speed,steering_angle,deflection,delta_acc_lat,deterministic_score,fuzzy_score,jerk_score,deterministic_class,fuzzy_class,jerk_class,group_match_strength,group_match_id,cluster_id,cluster_score
14,A,1,14,396.8,1,-0.1,-0.2,0.223606797749979,7.5,668,-7.3,0,0,0,0.152950819672131,0.32152652311782,Normal,Calmo,Calmo,3,1,1,1.66668950885193
15,A,1,15,473.6,2,-0.1,-0.2,0.223606797749979,8.5,742,-7.3,0,0,0,0.152950819672131,0.32152652311782,Normal,Calmo,Calmo,3,1,1,1.56626581621617
16,A,1,16,473.6,3,0,-0.2,0.2,8.5,759,-4.8,2.5,0,0,0.152950819672131,0.32152652311782,Normal,Calmo,Calmo,3,1,1,1.52615868081901
17,A,1,17,473.6,3,-0.2,-0.3,0.360555127546399,8.5,761,0.8,5.6,0.1,0,0.152950819672131,0.428702030823759,Normal,Calmo,Calmo,3,1,1,1.28356531741083
18,A,1,18,473.6,3,-0.1,-0.2,0.223606797749979,8.5,766,0.6,0.2,0.1,0,0.152950819672131,0.428702030823759,Normal,Calmo,Calmo,3,1,1,1.52078230640492
19,A,1,19,473.6,4,-0.1,-0.2,0.223606797749979,8.5,769,0.5,0.1,0,0,0.152950819672131,0.491139876707792,Normal,Calmo,Calmo,3,1,1,1.50239741449944
20,A,1,20,473.6,4,0,-0.2,0.2,8.5,768,0.7,0.2,0,0,0.152950819672131,0.525050613606558,Normal,Calmo,Normal,2,2,1,1.53377788236519
21,A,1,21,486.4,4,0,-0.3,0.3,8.5,767,0.4,0.3,0.1,0,0.152950819672131,0.525050613606558,Normal,Calmo,Normal,2,2,1,1.4043098845411
22,A,1,22,473.6,3,0,-0.2,0.2,8.5,770,0.5,0.1,0.1,0,0.152950819672131,0.535877538529699,Normal,Calmo,Normal,2,2,1,1.55003676643048
23,A,1,23,486.4,3,0.1,-0.2,0.223606797749979,8.5,768,0.5,0,0,0,0.152950819672131,0.525050613606558,Normal,Calmo,Normal,2,2,1,1.52223700132101
24,A,1,24,473.6,1,0.6,-0.2,0.632455532033676,8.5,765,0.2,0.3,0,0,0.152950819672131,0.686258091051075,Normal,Calmo,Normal,2,2,1,1.21920783950986
31,A,1,31,460.8,2,0.1,-0.3,0.316227766016838,8,747,-86.2,1.8,0,0,0.152950819672131,0.802028060178355,Normal,Calmo,Normal,2,2,1,1.4205843985859
32,A,1,32,460.8,2,0,-0.4,0.4,8,758,-274,187.8,0.1,0,0.152950819672131,0.89026662983052,Normal,Calmo,Normal,2,2,1,7.55130506077111
33,A,1,33,448,3,0.1,-0.5,0.509901951359279,8,763,-347.8,73.8,0.1,0,0.152950819672131,0.89026662983052,Normal,Calmo,Normal,2,2,1,2.7994204075848
34,A,1,34,486.4,3,0,-0.5,0.5,9.4,796,-385.9,38.1,0,0,0.152950819672131,0.802028060178355,Normal,Calmo,Normal,2,2,1,1.49027140113939
35,A,1,35,588.8,4,0.2,-0.8,0.824621125123532,8.5,978,-427.5,41.6,0.3,0,0.152950819672131,0.802028060178355,Normal,Calmo,Normal,2,2,1,1.42109837762206
36,A,1,36,486.4,4,-0.1,-0.6,0.608276253029822,8.9,891,-400.8,26.7,0.2,0,0.152950819672131,0.802028060178355,Normal,Calmo,Normal,2,2,1,1.0037814467318
37,A,1,37,550.4,5,0.3,-0.6,0.670820393249937,7.5,1029,-294.3,106.5,0,0,0.152950819672131,0.750228553941579,Normal,Calmo,Normal,2,2,1,4.02435211972608
